2025-11-26 15:52:50 | INFO | Episode 135/3000 completed | epsilon=0.955
2025-11-26 15:52:50 | INFO | Episode 136/3000 completed | epsilon=0.955
2025-11-26 15:52:50 | INFO | Episode 137/3000 completed | epsilon=0.955
2025-11-26 15:52:50 | INFO | Episode 138/3000 completed | epsilon=0.954
2025-11-26 15:52:50 | INFO | Episode 139/3000 completed | epsilon=0.954
2025-11-26 15:52:50 | INFO | Episode 140/3000 completed | epsilon=0.954
2025-11-26 15:52:50 | INFO | Episode 141/3000 completed | epsilon=0.953
2025-11-26 15:52:50 | INFO | Episode 142/3000 completed | epsilon=0.953
2025-11-26 15:52:50 | INFO | Episode 143/3000 completed | epsilon=0.953
2025-11-26 15:52:50 | INFO | Episode 144/3000 completed | epsilon=0.952
2025-11-26 15:52:50 | INFO | Episode 145/3000 completed | epsilon=0.952
2025-11-26 15:52:50 | INFO | Episode 146/3000 completed | epsilon=0.952
2025-11-26 15:52:50 | INFO | Episode 147/3000 completed | epsilon=0.951
2025-11-26 15:52:50 | INFO | Episode 148/3000 completed | epsilon=0.951
2025-11-26 15:52:50 | INFO | Episode 149/3000 completed | epsilon=0.951
2025-11-26 15:52:50 | INFO | Episode 150/3000 completed | epsilon=0.950
2025-11-26 15:52:50 | INFO | Episode 151/3000 completed | epsilon=0.950
2025-11-26 15:52:50 | INFO | Episode 152/3000 completed | epsilon=0.950
2025-11-26 15:52:50 | INFO | Episode 153/3000 completed | epsilon=0.949
2025-11-26 15:52:50 | INFO | Episode 154/3000 completed | epsilon=0.949
2025-11-26 15:52:50 | INFO | Episode 155/3000 completed | epsilon=0.949
2025-11-26 15:52:50 | INFO | Episode 156/3000 completed | epsilon=0.948
2025-11-26 15:52:51 | INFO | Episode 157/3000 completed | epsilon=0.948
2025-11-26 15:52:51 | INFO | Episode 158/3000 completed | epsilon=0.948
2025-11-26 15:52:51 | INFO | Episode 159/3000 completed | epsilon=0.947
2025-11-26 15:52:51 | INFO | Episode 160/3000 completed | epsilon=0.947
2025-11-26 15:52:51 | INFO | Episode 161/3000 completed | epsilon=0.947
2025-11-26 15:52:51 | INFO | Episode 162/3000 completed | epsilon=0.946
2025-11-26 15:52:51 | INFO | Episode 163/3000 completed | epsilon=0.946
2025-11-26 15:52:51 | INFO | Episode 164/3000 completed | epsilon=0.946
2025-11-26 15:52:51 | INFO | Episode 165/3000 completed | epsilon=0.945
2025-11-26 15:52:51 | INFO | Episode 166/3000 completed | epsilon=0.945
2025-11-26 15:52:51 | INFO | Episode 167/3000 completed | epsilon=0.945
2025-11-26 15:52:51 | INFO | Episode 168/3000 completed | epsilon=0.944
2025-11-26 15:52:51 | INFO | Episode 169/3000 completed | epsilon=0.944
2025-11-26 15:52:51 | INFO | Episode 170/3000 completed | epsilon=0.944
2025-11-26 15:52:51 | INFO | Episode 171/3000 completed | epsilon=0.943
2025-11-26 15:52:51 | INFO | Episode 172/3000 completed | epsilon=0.943
2025-11-26 15:52:51 | INFO | Episode 173/3000 completed | epsilon=0.943
2025-11-26 15:52:51 | INFO | Episode 174/3000 completed | epsilon=0.942
2025-11-26 15:52:51 | INFO | Episode 175/3000 completed | epsilon=0.942
2025-11-26 15:52:51 | INFO | Episode 176/3000 completed | epsilon=0.942
2025-11-26 15:52:51 | INFO | Episode 177/3000 completed | epsilon=0.941
2025-11-26 15:52:51 | INFO | Episode 178/3000 completed | epsilon=0.941
2025-11-26 15:52:51 | INFO | Episode 179/3000 completed | epsilon=0.941
2025-11-26 15:52:51 | INFO | Episode 180/3000 completed | epsilon=0.940
2025-11-26 15:52:51 | INFO | Episode 181/3000 completed | epsilon=0.940
2025-11-26 15:52:51 | INFO | Episode 182/3000 completed | epsilon=0.940
2025-11-26 15:52:51 | INFO | Episode 183/3000 completed | epsilon=0.939
2025-11-26 15:52:51 | INFO | Episode 184/3000 completed | epsilon=0.939
2025-11-26 15:52:51 | INFO | Episode 185/3000 completed | epsilon=0.939
2025-11-26 15:52:51 | INFO | Episode 186/3000 completed | epsilon=0.938
2025-11-26 15:52:51 | INFO | Episode 187/3000 completed | epsilon=0.938
2025-11-26 15:52:51 | INFO | Episode 188/3000 completed | epsilon=0.938
2025-11-26 15:52:51 | INFO | Episode 189/3000 completed | epsilon=0.937
2025-11-26 15:52:51 | INFO | Episode 190/3000 completed | epsilon=0.937
2025-11-26 15:52:51 | INFO | Episode 191/3000 completed | epsilon=0.937
2025-11-26 15:52:51 | INFO | Episode 192/3000 completed | epsilon=0.936
2025-11-26 15:52:51 | INFO | Episode 193/3000 completed | epsilon=0.936
2025-11-26 15:52:51 | INFO | Episode 194/3000 completed | epsilon=0.936
2025-11-26 15:52:51 | INFO | Episode 195/3000 completed | epsilon=0.935
2025-11-26 15:52:51 | INFO | Episode 196/3000 completed | epsilon=0.935
2025-11-26 15:52:51 | INFO | Episode 197/3000 completed | epsilon=0.935
2025-11-26 15:52:51 | INFO | Episode 198/3000 completed | epsilon=0.934
2025-11-26 15:52:51 | INFO | Episode 199/3000 completed | epsilon=0.934
2025-11-26 15:52:51 | INFO | Episode 200/3000 completed | epsilon=0.934
2025-11-26 15:52:51 | INFO | Episode 201/3000 completed | epsilon=0.933
2025-11-26 15:52:51 | INFO | Episode 202/3000 completed | epsilon=0.933
2025-11-26 15:52:51 | INFO | Episode 203/3000 completed | epsilon=0.933
2025-11-26 15:52:51 | INFO | Episode 204/3000 completed | epsilon=0.932
2025-11-26 15:52:51 | INFO | Episode 205/3000 completed | epsilon=0.932
2025-11-26 15:52:51 | INFO | Episode 206/3000 completed | epsilon=0.932
2025-11-26 15:52:51 | INFO | Episode 207/3000 completed | epsilon=0.931
2025-11-26 15:52:51 | INFO | Episode 208/3000 completed | epsilon=0.931
2025-11-26 15:52:51 | INFO | Episode 209/3000 completed | epsilon=0.931
2025-11-26 15:52:51 | INFO | Episode 210/3000 completed | epsilon=0.930
2025-11-26 15:52:51 | INFO | Episode 211/3000 completed | epsilon=0.930
2025-11-26 15:52:51 | INFO | Episode 212/3000 completed | epsilon=0.930
2025-11-26 15:52:51 | INFO | Episode 213/3000 completed | epsilon=0.929
2025-11-26 15:52:51 | INFO | Episode 214/3000 completed | epsilon=0.929
2025-11-26 15:52:51 | INFO | Episode 215/3000 completed | epsilon=0.929
2025-11-26 15:52:51 | INFO | Episode 216/3000 completed | epsilon=0.928
2025-11-26 15:52:51 | INFO | Episode 217/3000 completed | epsilon=0.928
2025-11-26 15:52:51 | INFO | Episode 218/3000 completed | epsilon=0.928
2025-11-26 15:52:51 | INFO | Episode 219/3000 completed | epsilon=0.927
2025-11-26 15:52:51 | INFO | Episode 220/3000 completed | epsilon=0.927
2025-11-26 15:52:51 | INFO | Episode 221/3000 completed | epsilon=0.927
2025-11-26 15:52:51 | INFO | Episode 222/3000 completed | epsilon=0.926
2025-11-26 15:52:51 | INFO | Episode 223/3000 completed | epsilon=0.926
2025-11-26 15:52:51 | INFO | Episode 224/3000 completed | epsilon=0.926
2025-11-26 15:52:51 | INFO | Episode 225/3000 completed | epsilon=0.925
2025-11-26 15:52:51 | INFO | Episode 226/3000 completed | epsilon=0.925
2025-11-26 15:52:51 | INFO | Episode 227/3000 completed | epsilon=0.925
2025-11-26 15:52:51 | INFO | Episode 228/3000 completed | epsilon=0.924
2025-11-26 15:52:51 | INFO | Episode 229/3000 completed | epsilon=0.924
2025-11-26 15:52:51 | INFO | Episode 230/3000 completed | epsilon=0.924
2025-11-26 15:52:51 | INFO | Episode 231/3000 completed | epsilon=0.923
2025-11-26 15:52:51 | INFO | Episode 232/3000 completed | epsilon=0.923
