Datetime;demand;price;solar_power;wind_power
2019-01-07 06:00:00;18.103;68.61;0;3.8292891653
2019-01-07 07:00:00;18.491;69.15;7.1378187133;1.4208212545
2019-01-07 08:00:00;19.112;69.7;22.7623817333;0.2406355461
2019-01-07 09:00:00;19.521;69.49;57.58731796;1.6252696231
2019-01-07 10:00:00;19.662;69.01;80.2019039067;6.1447174546
2019-01-07 11:00:00;19.575;69;79.1708500533;11.4056350434
2019-01-07 12:00:00;19.214;68.74;65.4202297;13.5784883024
2019-01-07 13:00:00;18.705;66.62;46.72750708;14.58242225
2019-01-07 14:00:00;18.225;64.99;20.5892104067;13.8375848198
2019-01-07 15:00:00;18.011;62.67;4.25661982;13.7132870695
2019-01-07 16:00:00;17.974;67.04;0;21.3756923013
2019-01-07 17:00:00;18.46;70.39;0;28.5712768196
2019-01-07 18:00:00;19.444;70.33;0;34.2213137203
2019-01-07 19:00:00;20.031;69;0;36.2095878816
2019-01-07 20:00:00;19.982;67.14;0;32.0163757218
2019-01-07 21:00:00;19.939;63;0;23.6526985028
2019-01-07 22:00:00;19.627;60.84;0;15.6181960155
2019-01-07 23:00:00;19.163;59.59;0;11.1288123197
2019-01-08 00:00:00;18.675;54.34;0;8.6358464309
2019-01-08 01:00:00;18.303;52.1;0;6.861939966
2019-01-08 02:00:00;18.215;50.71;0;5.9839876051
2019-01-08 03:00:00;18.025;50.5;0;5.1169342588
2019-01-08 04:00:00;18.107;51.17;0;4.4462162506
2019-01-08 05:00:00;18.29;54.69;0;2.8722577185
2019-01-08 06:00:00;18.487;65.82;0;1.8974388349
2019-01-08 07:00:00;18.915;67.2;6.31162196;2.8027305778
2019-01-08 08:00:00;19.402;68.16;28.3763333933;5.1634693771
2019-01-08 09:00:00;19.663;68.53;53.7798663;9.6909077783
2019-01-08 10:00:00;19.618;68.15;77.2854421333;15.0598970563
2019-01-08 11:00:00;19.235;67.95;88.34681024;27.8810875382
2019-01-08 12:00:00;18.977;67.97;86.7267169533;42.5269445022
2019-01-08 13:00:00;18.671;65.48;78.8096945733;52.5537623584
2019-01-08 14:00:00;18.287;63.13;58.5925509067;51.551328556
2019-01-08 15:00:00;17.894;59.99;20.6675643333;46.383052591
2019-01-08 16:00:00;17.964;67.25;0;61.5996382892
2019-01-08 17:00:00;18.356;69.94;0;71.6053622661
2019-01-08 18:00:00;19.366;70;0;81.8590694393
2019-01-08 19:00:00;20.078;68.15;0;85.1782173699
2019-01-08 20:00:00;20.214;67.25;0;84.5613821303
2019-01-08 21:00:00;20.257;63.7;0;81.8746831962
2019-01-08 22:00:00;20.049;58.85;0;79.9019615612
2019-01-08 23:00:00;19.637;54.09;0;75.8622540615
2019-01-09 00:00:00;19.307;52.5;0;72.290071425
2019-01-09 01:00:00;19.085;49.4;0;70.3262894312
2019-01-09 02:00:00;19.044;49.6;0;74.1203098752
2019-01-09 03:00:00;19.037;49.4;0;77.7688468441
2019-01-09 04:00:00;18.96;49.99;0;109.3800608842
2019-01-09 05:00:00;19.212;53.28;0;123.9018956348
2019-01-09 06:00:00;19.842;64.07;0;129.3909577642
2019-01-09 07:00:00;20.98;67.16;28.90826334;127.9509713886
2019-01-09 08:00:00;21.614;67.29;64.9111339133;117.6586890514
2019-01-09 09:00:00;21.421;67.2;80.2959382533;119.2904184837
2019-01-09 10:00:00;21.267;67;84.3689213267;111.3927353675
2019-01-09 11:00:00;20.74;64.97;83.95802688;102.9050971655
2019-01-09 12:00:00;20.067;64.25;80.68739476;95.4448747768
2019-01-09 13:00:00;19.305;61.46;72.21794468;86.4763940954
2019-01-09 14:00:00;18.856;58.64;52.6053040867;70.5717927956
2019-01-09 15:00:00;18.746;61.49;18.5206233867;77.9735095191
2019-01-09 16:00:00;18.597;67.05;0;91.026548982
2019-01-09 17:00:00;18.741;68.53;0;95.5972160589
2019-01-09 18:00:00;19.448;69.01;0;93.409759345
2019-01-09 19:00:00;19.837;66.58;0;87.8278412854
2019-01-09 20:00:00;19.659;64.54;0;85.6694996356
