experiment_id,alpha,gamma,epsilon_min,episode_window_hours,seed,mean_abs_imbalance,max_abs_imbalance,imbalance_std,imbalance_trend,improvement_ratio,valid,success,error
79,0.25,0.9,0.12,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
80,0.25,0.9,0.12,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
81,0.25,0.9,0.12,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
82,0.25,0.9,0.12,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
83,0.25,0.9,0.12,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
84,0.25,0.9,0.12,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
85,0.25,0.9,0.15,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
86,0.25,0.9,0.15,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
87,0.25,0.9,0.15,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
88,0.25,0.9,0.15,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
89,0.25,0.9,0.15,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
90,0.25,0.9,0.15,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
91,0.25,0.9,0.15,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
92,0.25,0.9,0.15,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
93,0.25,0.9,0.15,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
94,0.25,0.9,0.15,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
95,0.25,0.9,0.15,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
96,0.25,0.9,0.15,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
97,0.25,0.9,0.18,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
98,0.25,0.9,0.18,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
99,0.25,0.9,0.18,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
100,0.25,0.9,0.18,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
101,0.25,0.9,0.18,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
102,0.25,0.9,0.18,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
103,0.25,0.9,0.18,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
104,0.25,0.9,0.18,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
105,0.25,0.9,0.18,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
106,0.25,0.9,0.18,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
107,0.25,0.9,0.18,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
108,0.25,0.9,0.18,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
109,0.25,0.9,0.2,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
110,0.25,0.9,0.2,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
111,0.25,0.9,0.2,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
112,0.25,0.9,0.2,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
113,0.25,0.9,0.2,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
114,0.25,0.9,0.2,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
115,0.25,0.9,0.2,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
116,0.25,0.9,0.2,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
117,0.25,0.9,0.2,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
118,0.25,0.9,0.2,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
119,0.25,0.9,0.2,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
120,0.25,0.9,0.2,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
121,0.25,0.92,0.1,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
122,0.25,0.92,0.1,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
123,0.25,0.92,0.1,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
124,0.25,0.92,0.1,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
125,0.25,0.92,0.1,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
126,0.25,0.92,0.1,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
127,0.25,0.92,0.1,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
128,0.25,0.92,0.1,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
129,0.25,0.92,0.1,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
130,0.25,0.92,0.1,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
131,0.25,0.92,0.1,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
132,0.25,0.92,0.1,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
133,0.25,0.92,0.12,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
134,0.25,0.92,0.12,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
135,0.25,0.92,0.12,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
136,0.25,0.92,0.12,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
137,0.25,0.92,0.12,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
138,0.25,0.92,0.12,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
139,0.25,0.92,0.12,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
140,0.25,0.92,0.12,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
141,0.25,0.92,0.12,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
142,0.25,0.92,0.12,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
143,0.25,0.92,0.12,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
144,0.25,0.92,0.12,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
145,0.25,0.92,0.15,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
146,0.25,0.92,0.15,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
147,0.25,0.92,0.15,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
148,0.25,0.92,0.15,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
149,0.25,0.92,0.15,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
150,0.25,0.92,0.15,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
151,0.25,0.92,0.15,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
152,0.25,0.92,0.15,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
153,0.25,0.92,0.15,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
154,0.25,0.92,0.15,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
155,0.25,0.92,0.15,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
156,0.25,0.92,0.15,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
157,0.25,0.92,0.18,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
158,0.25,0.92,0.18,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
159,0.25,0.92,0.18,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
160,0.25,0.92,0.18,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
161,0.25,0.92,0.18,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
162,0.25,0.92,0.18,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
163,0.25,0.92,0.18,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
164,0.25,0.92,0.18,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
165,0.25,0.92,0.18,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
166,0.25,0.92,0.18,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
167,0.25,0.92,0.18,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
168,0.25,0.92,0.18,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
169,0.25,0.92,0.2,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
170,0.25,0.92,0.2,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
171,0.25,0.92,0.2,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
172,0.25,0.92,0.2,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
173,0.25,0.92,0.2,120,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
174,0.25,0.92,0.2,120,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
175,0.25,0.92,0.2,144,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
176,0.25,0.92,0.2,144,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
177,0.25,0.92,0.2,144,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
178,0.25,0.92,0.2,168,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
179,0.25,0.92,0.2,168,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
180,0.25,0.92,0.2,168,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
181,0.25,0.95,0.1,96,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
182,0.25,0.95,0.1,96,43,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
183,0.25,0.95,0.1,96,44,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
184,0.25,0.95,0.1,120,42,inf,inf,inf,0.0,0.0,False,False,TabularQL.__init__() got an unexpected keyword argument 'alpha_min'
