episode;num_events;num_recovered;recovered_ratio;mean_recovery_time_steps;median_recovery_time_steps;mean_recovery_time_hours;median_recovery_time_hours
167;25,000000;0,000000;0,000000;;;;
168;18,000000;7,000000;0,388889;6,428571;5,000000;6,428571;5,000000
169;23,000000;21,000000;0,913043;33,095238;31,000000;33,095238;31,000000
170;20,000000;0,000000;0,000000;;;;
171;23,000000;17,000000;0,739130;32,588235;35,000000;32,588235;35,000000
172;23,000000;10,000000;0,434783;18,800000;18,000000;18,800000;18,000000
173;20,000000;17,000000;0,850000;20,529412;18,000000;20,529412;18,000000
174;24,000000;18,000000;0,750000;15,611111;15,500000;15,611111;15,500000
175;26,000000;0,000000;0,000000;;;;
176;16,000000;14,000000;0,875000;9,500000;8,500000;9,500000;8,500000
177;19,000000;12,000000;0,631579;11,083333;8,000000;11,083333;8,000000
178;24,000000;10,000000;0,416667;10,300000;8,000000;10,300000;8,000000
179;23,000000;14,000000;0,608696;12,214286;12,000000;12,214286;12,000000
180;22,000000;0,000000;0,000000;;;;
181;25,000000;0,000000;0,000000;;;;
182;26,000000;0,000000;0,000000;;;;
183;21,000000;9,000000;0,428571;8,111111;8,000000;8,111111;8,000000
184;18,000000;14,000000;0,777778;18,285714;14,000000;18,285714;14,000000
185;23,000000;13,000000;0,565217;12,230769;8,000000;12,230769;8,000000
186;19,000000;18,000000;0,947368;19,055556;19,000000;19,055556;19,000000
187;20,000000;12,000000;0,600000;11,500000;9,500000;11,500000;9,500000
188;23,000000;17,000000;0,739130;16,941176;14,000000;16,941176;14,000000
189;22,000000;18,000000;0,818182;26,611111;26,500000;26,611111;26,500000
190;19,000000;8,000000;0,421053;9,375000;7,500000;9,375000;7,500000
191;27,000000;18,000000;0,666667;30,611111;29,500000;30,611111;29,500000
192;28,000000;16,000000;0,571429;11,750000;11,500000;11,750000;11,500000
193;22,000000;20,000000;0,909091;20,000000;20,500000;20,000000;20,500000
194;22,000000;20,000000;0,909091;24,850000;22,000000;24,850000;22,000000
195;20,000000;20,000000;1,000000;9,500000;8,000000;9,500000;8,000000
196;19,000000;19,000000;1,000000;11,578947;8,000000;11,578947;8,000000
197;20,000000;3,000000;0,150000;4,666667;4,000000;4,666667;4,000000
198;21,000000;12,000000;0,571429;16,833333;13,500000;16,833333;13,500000
199;25,000000;24,000000;0,960000;20,458333;17,500000;20,458333;17,500000
200;23,000000;3,000000;0,130435;7,666667;8,000000;7,666667;8,000000
201;20,000000;10,000000;0,500000;20,500000;22,500000;20,500000;22,500000
202;19,000000;13,000000;0,684211;20,230769;21,000000;20,230769;21,000000
203;24,000000;22,000000;0,916667;27,863636;26,000000;27,863636;26,000000
204;30,000000;0,000000;0,000000;;;;
205;18,000000;14,000000;0,777778;27,714286;26,000000;27,714286;26,000000
206;21,000000;18,000000;0,857143;7,111111;5,500000;7,111111;5,500000
207;21,000000;5,000000;0,238095;4,800000;5,000000;4,800000;5,000000
208;20,000000;18,000000;0,900000;12,444444;11,500000;12,444444;11,500000
209;20,000000;20,000000;1,000000;17,550000;16,000000;17,550000;16,000000
210;27,000000;5,000000;0,185185;9,200000;9,000000;9,200000;9,000000
211;17,000000;9,000000;0,529412;4,666667;4,000000;4,666667;4,000000
212;19,000000;12,000000;0,631579;16,666667;14,000000;16,666667;14,000000
213;20,000000;18,000000;0,900000;17,944444;18,000000;17,944444;18,000000
214;23,000000;23,000000;1,000000;12,521739;11,000000;12,521739;11,000000
215;19,000000;18,000000;0,947368;8,722222;7,500000;8,722222;7,500000
216;18,000000;13,000000;0,722222;15,846154;15,000000;15,846154;15,000000
217;22,000000;21,000000;0,954545;20,047619;21,000000;20,047619;21,000000
218;19,000000;13,000000;0,684211;8,461538;8,000000;8,461538;8,000000
219;20,000000;19,000000;0,950000;27,842105;25,000000;27,842105;25,000000
220;16,000000;14,000000;0,875000;4,428571;3,000000;4,428571;3,000000
221;24,000000;23,000000;0,958333;34,217391;32,000000;34,217391;32,000000
222;24,000000;16,000000;0,666667;15,875000;12,500000;15,875000;12,500000
223;21,000000;2,000000;0,095238;3,000000;3,000000;3,000000;3,000000
224;20,000000;13,000000;0,650000;20,615385;20,000000;20,615385;20,000000
225;19,000000;18,000000;0,947368;15,611111;15,000000;15,611111;15,000000
226;22,000000;2,000000;0,090909;5,000000;5,000000;5,000000;5,000000
227;20,000000;14,000000;0,700000;15,714286;12,500000;15,714286;12,500000
228;18,000000;15,000000;0,833333;19,400000;17,000000;19,400000;17,000000
229;20,000000;19,000000;0,950000;14,842105;13,000000;14,842105;13,000000
230;24,000000;15,000000;0,625000;14,266667;12,000000;14,266667;12,000000
231;24,000000;19,000000;0,791667;26,105263;24,000000;26,105263;24,000000
232;16,000000;16,000000;1,000000;7,875000;7,000000;7,875000;7,000000
233;24,000000;22,000000;0,916667;39,318182;36,500000;39,318182;36,500000
234;21,000000;7,000000;0,333333;15,428571;16,000000;15,428571;16,000000
235;18,000000;17,000000;0,944444;19,764706;16,000000;19,764706;16,000000
236;23,000000;15,000000;0,652174;30,466667;31,000000;30,466667;31,000000
237;21,000000;3,000000;0,142857;5,000000;5,000000;5,000000;5,000000
238;25,000000;0,000000;0,000000;;;;
239;28,000000;26,000000;0,928571;39,807692;41,000000;39,807692;41,000000
240;21,000000;16,000000;0,761905;14,500000;14,500000;14,500000;14,500000
241;22,000000;20,000000;0,909091;9,500000;8,000000;9,500000;8,000000
242;23,000000;7,000000;0,304348;13,142857;14,000000;13,142857;14,000000
243;20,000000;17,000000;0,850000;14,117647;8,000000;14,117647;8,000000
244;20,000000;15,000000;0,750000;16,333333;16,000000;16,333333;16,000000
245;27,000000;14,000000;0,518519;21,857143;22,500000;21,857143;22,500000
246;19,000000;14,000000;0,736842;24,571429;24,500000;24,571429;24,500000
247;22,000000;19,000000;0,863636;13,473684;12,000000;13,473684;12,000000
248;18,000000;18,000000;1,000000;10,277778;8,000000;10,277778;8,000000
249;23,000000;0,000000;0,000000;;;;
250;22,000000;20,000000;0,909091;31,850000;31,500000;31,850000;31,500000
251;15,000000;15,000000;1,000000;12,266667;10,000000;12,266667;10,000000
252;20,000000;18,000000;0,900000;23,666667;20,000000;23,666667;20,000000
253;19,000000;14,000000;0,736842;11,571429;9,000000;11,571429;9,000000
254;21,000000;21,000000;1,000000;13,190476;13,000000;13,190476;13,000000
255;21,000000;12,000000;0,571429;11,416667;10,500000;11,416667;10,500000
256;26,000000;0,000000;0,000000;;;;
257;25,000000;5,000000;0,200000;5,200000;4,000000;5,200000;4,000000
258;19,000000;16,000000;0,842105;10,437500;10,500000;10,437500;10,500000
259;22,000000;22,000000;1,000000;28,136364;24,500000;28,136364;24,500000
260;24,000000;11,000000;0,458333;24,454545;24,000000;24,454545;24,000000
261;18,000000;18,000000;1,000000;26,833333;27,000000;26,833333;27,000000
262;23,000000;7,000000;0,304348;14,142857;14,000000;14,142857;14,000000
263;21,000000;20,000000;0,952381;36,700000;38,500000;36,700000;38,500000
264;20,000000;6,000000;0,300000;6,833333;6,500000;6,833333;6,500000
265;25,000000;12,000000;0,480000;14,833333;13,000000;14,833333;13,000000
266;20,000000;18,000000;0,900000;25,944444;21,500000;25,944444;21,500000
267;16,000000;16,000000;1,000000;10,187500;9,500000;10,187500;9,500000
268;24,000000;23,000000;0,958333;19,130435;12,000000;19,130435;12,000000
269;21,000000;0,000000;0,000000;;;;
270;22,000000;22,000000;1,000000;25,681818;19,500000;25,681818;19,500000
271;26,000000;17,000000;0,653846;16,294118;15,000000;16,294118;15,000000
272;19,000000;18,000000;0,947368;24,666667;23,500000;24,666667;23,500000
273;20,000000;12,000000;0,600000;13,416667;11,500000;13,416667;11,500000
274;23,000000;21,000000;0,913043;15,428571;15,000000;15,428571;15,000000
275;20,000000;17,000000;0,850000;19,529412;16,000000;19,529412;16,000000
276;17,000000;12,000000;0,705882;7,000000;6,000000;7,000000;6,000000
277;21,000000;16,000000;0,761905;22,250000;21,500000;22,250000;21,500000
278;23,000000;21,000000;0,913043;28,619048;29,000000;28,619048;29,000000
279;23,000000;0,000000;0,000000;;;;
280;20,000000;20,000000;1,000000;17,250000;12,000000;17,250000;12,000000
281;23,000000;19,000000;0,826087;25,947368;25,000000;25,947368;25,000000
282;24,000000;17,000000;0,708333;27,352941;25,000000;27,352941;25,000000
283;27,000000;0,000000;0,000000;;;;
284;24,000000;14,000000;0,583333;11,785714;11,500000;11,785714;11,500000
285;20,000000;12,000000;0,600000;13,500000;13,000000;13,500000;13,000000
286;22,000000;22,000000;1,000000;14,727273;14,500000;14,727273;14,500000
287;23,000000;10,000000;0,434783;23,700000;23,500000;23,700000;23,500000
288;20,000000;8,000000;0,400000;5,875000;4,500000;5,875000;4,500000
289;24,000000;0,000000;0,000000;;;;
290;20,000000;10,000000;0,500000;12,000000;8,500000;12,000000;8,500000
291;19,000000;7,000000;0,368421;7,428571;5,000000;7,428571;5,000000
292;20,000000;7,000000;0,350000;8,714286;9,000000;8,714286;9,000000
293;23,000000;19,000000;0,826087;20,421053;18,000000;20,421053;18,000000
294;27,000000;12,000000;0,444444;22,000000;21,000000;22,000000;21,000000
295;19,000000;12,000000;0,631579;26,500000;29,000000;26,500000;29,000000
296;18,000000;11,000000;0,611111;16,272727;14,000000;16,272727;14,000000
297;19,000000;18,000000;0,947368;21,722222;20,000000;21,722222;20,000000
298;28,000000;6,000000;0,214286;7,833333;8,000000;7,833333;8,000000
299;22,000000;18,000000;0,818182;35,722222;34,000000;35,722222;34,000000
300;20,000000;3,000000;0,150000;10,333333;10,000000;10,333333;10,000000
301;25,000000;24,000000;0,960000;45,750000;48,000000;45,750000;48,000000
302;21,000000;16,000000;0,761905;9,750000;9,000000;9,750000;9,000000
303;29,000000;12,000000;0,413793;22,416667;23,000000;22,416667;23,000000
304;23,000000;6,000000;0,260870;10,333333;11,000000;10,333333;11,000000
305;17,000000;13,000000;0,764706;9,000000;8,000000;9,000000;8,000000
306;24,000000;11,000000;0,458333;22,363636;23,000000;22,363636;23,000000
307;23,000000;16,000000;0,695652;8,187500;7,000000;8,187500;7,000000
308;22,000000;0,000000;0,000000;;;;
309;28,000000;15,000000;0,535714;24,533333;24,000000;24,533333;24,000000
310;21,000000;7,000000;0,333333;4,714286;5,000000;4,714286;5,000000
311;18,000000;15,000000;0,833333;15,933333;13,000000;15,933333;13,000000
312;27,000000;25,000000;0,925926;25,360000;23,000000;25,360000;23,000000
313;20,000000;2,000000;0,100000;2,500000;2,500000;2,500000;2,500000
314;20,000000;14,000000;0,700000;23,000000;21,000000;23,000000;21,000000
315;23,000000;18,000000;0,782609;17,666667;18,000000;17,666667;18,000000
316;18,000000;15,000000;0,833333;7,066667;5,000000;7,066667;5,000000
317;25,000000;22,000000;0,880000;37,045455;36,000000;37,045455;36,000000
318;23,000000;10,000000;0,434783;9,700000;9,000000;9,700000;9,000000
319;26,000000;19,000000;0,730769;29,526316;26,000000;29,526316;26,000000
320;20,000000;6,000000;0,300000;2,333333;1,500000;2,333333;1,500000
321;17,000000;11,000000;0,647059;9,727273;9,000000;9,727273;9,000000
322;16,000000;14,000000;0,875000;13,785714;15,000000;13,785714;15,000000
323;19,000000;9,000000;0,473684;5,777778;4,000000;5,777778;4,000000
324;22,000000;20,000000;0,909091;20,000000;18,500000;20,000000;18,500000
325;22,000000;17,000000;0,772727;32,647059;34,000000;32,647059;34,000000
326;21,000000;16,000000;0,761905;13,875000;15,000000;13,875000;15,000000
327;20,000000;14,000000;0,700000;8,071429;5,000000;8,071429;5,000000
328;17,000000;10,000000;0,588235;8,400000;7,000000;8,400000;7,000000
329;23,000000;18,000000;0,782609;14,333333;14,000000;14,333333;14,000000
330;19,000000;14,000000;0,736842;10,642857;8,000000;10,642857;8,000000
331;19,000000;3,000000;0,157895;4,666667;4,000000;4,666667;4,000000
332;23,000000;18,000000;0,782609;16,666667;14,500000;16,666667;14,500000
333;22,000000;13,000000;0,590909;10,307692;7,000000;10,307692;7,000000
334;17,000000;13,000000;0,764706;11,384615;11,000000;11,384615;11,000000
335;20,000000;13,000000;0,650000;8,384615;7,000000;8,384615;7,000000
336;15,000000;15,000000;1,000000;6,400000;5,000000;6,400000;5,000000
337;23,000000;16,000000;0,695652;14,375000;12,500000;14,375000;12,500000
338;26,000000;8,000000;0,307692;7,125000;6,000000;7,125000;6,000000
