episode;max_abs_e;p95_abs_e;time_in_band_ratio;epsilon_band_w
368;120000,000000;80990,760023;0,715789;3000,000000
369;119391,914968;82918,802591;0,673684;3000,000000
370;93763,481606;76348,593320;0,663158;3000,000000
371;120000,000000;78761,138534;0,715789;3000,000000
372;107155,934721;59827,366535;0,621053;3000,000000
373;112467,256928;72743,744615;0,726316;3000,000000
374;107960,837761;78968,427454;0,778947;3000,000000
375;120000,000000;66166,653317;0,694737;3000,000000
376;120000,000000;65491,093572;0,768421;3000,000000
377;110945,115935;60568,308955;0,673684;3000,000000
378;109204,886170;77737,848559;0,694737;3000,000000
379;113626,836784;68567,984914;0,715789;3000,000000
380;114296,878455;91233,909484;0,684211;3000,000000
381;106144,395187;91247,821820;0,663158;3000,000000
382;117583,360032;78747,538340;0,484211;3000,000000
383;99098,535091;81727,921556;0,610526;3000,000000
384;95320,776324;75515,544204;0,589474;3000,000000
385;106632,605933;65249,069607;0,726316;3000,000000
386;119273,677913;88494,474090;0,694737;3000,000000
387;107730,238418;66554,259694;0,652632;3000,000000
388;106457,712527;68586,191760;0,789474;3000,000000
389;107816,722024;64833,496827;0,642105;3000,000000
390;113557,288432;69979,657243;0,800000;3000,000000
391;102017,779649;57900,017949;0,694737;3000,000000
392;113557,288432;87306,515821;0,631579;3000,000000
393;97471,758712;68147,731076;0,642105;3000,000000
394;103322,988985;60728,211991;0,715789;3000,000000
395;120000,000000;85996,258409;0,757895;3000,000000
396;114548,407045;73474,257171;0,621053;3000,000000
397;87935,243045;61534,858064;0,663158;3000,000000
398;120000,000000;86146,509643;0,642105;3000,000000
399;98515,395928;76604,963444;0,600000;3000,000000
400;116787,211895;80283,239661;0,757895;3000,000000
401;109411,980610;55825,281643;0,694737;3000,000000
402;101935,260725;78783,141390;0,589474;3000,000000
403;120000,000000;95011,277707;0,757895;3000,000000
404;98276,974777;79307,340101;0,631579;3000,000000
405;118091,944361;92280,409200;0,610526;3000,000000
406;120000,000000;77171,283539;0,778947;3000,000000
407;111766,784232;88997,281140;0,652632;3000,000000
408;115512,854040;78670,372836;0,810526;3000,000000
409;120000,000000;97035,793796;0,705263;3000,000000
410;104145,424122;79280,818166;0,589474;3000,000000
411;120000,000000;66074,101319;0,800000;3000,000000
412;94841,206088;73028,709188;0,726316;3000,000000
