episode;event_index;event_start_step;event_start_t_idx;epsilon_band_w;event_threshold_w;persistence_window_steps;recovery_step;recovery_time_steps;recovery_time_hours;peak_abs_e_after_event
2;3;15,000000;15,000000;3000,000000;6000,000000;6,000000;29,000000;14,000000;14,000000;108399,147697
2;4;17,000000;17,000000;3000,000000;6000,000000;6,000000;29,000000;12,000000;12,000000;108399,147697
2;5;21,000000;21,000000;3000,000000;6000,000000;6,000000;29,000000;8,000000;8,000000;108399,147697
2;6;23,000000;23,000000;3000,000000;6000,000000;6,000000;29,000000;6,000000;6,000000;108399,147697
2;7;26,000000;26,000000;3000,000000;6000,000000;6,000000;29,000000;3,000000;3,000000;108399,147697
2;8;35,000000;35,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;9;39,000000;39,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;10;44,000000;44,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;11;46,000000;46,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;12;51,000000;51,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;13;55,000000;55,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;14;60,000000;60,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;15;64,000000;64,000000;3000,000000;6000,000000;6,000000;;;;108399,147697
2;16;66,000000;66,000000;3000,000000;6000,000000;6,000000;;;;86921,654854
2;17;68,000000;68,000000;3000,000000;6000,000000;6,000000;;;;86921,654854
2;18;71,000000;71,000000;3000,000000;6000,000000;6,000000;;;;86921,654854
2;19;78,000000;78,000000;3000,000000;6000,000000;6,000000;;;;86921,654854
