episode;mean_e;var_e;std_e;rms_e
161;-777,946888;964781909,708485;31060,938648;31070,679282
162;-5876,719753;852592225,330412;29199,181929;29784,695070
163;-2559,331905;993015562,594702;31512,149444;31615,909640
164;-5974,371143;756551384,591950;27505,479174;28146,838102
165;-3719,519547;1379566461,505246;37142,515552;37328,290708
166;-20826,853464;1227310839,731389;35032,996442;40756,210139
167;3615,887019;988856539,373943;31446,089413;31653,296484
168;-16747,407448;1011158112,133663;31798,712429;35939,306732
169;-3350,903887;1209220550,000742;34773,848651;34934,926748
170;378,985377;1080600082,249497;32872,482143;32874,666723
171;-1593,101522;650650908,075711;25507,859731;25557,560144
172;-8719,262983;981274506,507355;31325,301379;32516,150656
173;-12647,234533;841506928,350888;29008,738827;31645,844430
174;-1686,161597;951640482,877454;30848,670683;30894,718380
175;-8180,586667;935674598,071892;30588,798572;31663,805777
176;-12479,665224;721041107,794853;26852,208620;29610,524344
177;-10906,923909;1283915174,521451;35831,762091;37454,988502
178;-16211,147836;1045782499,565532;32338,560567;36174,352983
179;-18853,381310;1157174485,576046;34017,267462;38892,473210
180;-12848,268885;1041094256,347280;32265,992257;34729,990925
181;-4032,713841;814190185,818932;28534,018045;28817,580862
182;-6191,039441;1021387634,147323;31959,155717;32553,288674
183;-14062,856083;1429663390,076436;37810,889834;40341,384598
184;-2960,294895;524637583,344638;22904,968530;23095,474215
185;-9204,670072;1147521134,866570;33875,081326;35103,377131
186;-12623,917561;960426107,745873;30990,742291;33463,254509
187;-11137,643549;816158751,096953;28568,492279;30662,776373
188;-2344,253171;687360574,547032;26217,562330;26322,159818
189;-18526,508872;1092479274,805623;33052,674246;37890,774679
190;-1826,233903;691157069,587362;26289,866291;26353,219914
191;-7394,792278;1820476530,878316;42667,042678;43303,111709
192;-19947,118118;1102488154,740514;33203,737060;38734,683114
193;-21786,082577;1100928628,621005;33180,244553;39693,349854
194;-2243,551488;1171643267,644832;34229,275009;34302,722792
195;-20373,455435;1163120973,261487;34104,559420;39726,548549
196;-17630,725517;1003596539,537686;31679,591846;36255,193032
197;-14007,860335;847284587,036690;29108,153274;32303,323950
198;-12027,884223;892604292,945192;29876,483945;32206,742956
199;-2431,182220;620200428,706799;24903,823576;25022,211647
200;-5303,231190;949314219,666114;30810,943180;31264,012550
201;-9435,553173;889907734,638556;29831,321369;31287,975299
202;-8686,087796;508503676,026326;22550,026076;24165,094604
203;-9012,967331;1012631324,811821;31821,868657;33073,628542
204;-4730,988643;783914092,436848;27998,465894;28395,357824
205;-6034,776240;724711767,372651;26920,471158;27588,589881
206;-7350,100353;805611505,836076;28383,296247;29319,540942
207;-7676,646170;977998092,049709;31272,961037;32201,381779
208;-6957,036206;535970508,476699;23151,036877;24173,763903
209;-3781,800632;745901083,697067;27311,189716;27571,780859
210;-1881,489063;1059693999,636516;32552,941490;32607,269139
211;2204,588026;1071899783,786041;32739,880632;32814,021274
212;-17087,880428;949806215,130342;30818,926249;35239,209308
213;-14047,894871;1208856920,907489;34768,619773;37499,336944
214;-16000,455425;991058122,606149;31481,075627;35313,916469
215;-5563,692934;1110581052,529276;33325,381506;33786,620600
216;-11575,744071;1537202182,180291;39207,170035;40880,313514
217;-18889,806122;972662708,799725;31187,540923;36462,137679
218;-13366,498941;745300032,066675;27300,183737;30396,765058
219;-481,159745;940787605,240250;30672,261169;30676,034945
220;-18038,850172;1078704825,520362;32843,642087;37471,388299
221;-4506,004207;1068769093,529019;32692,034099;33001,108579
222;-17788,392831;1203420626,616810;34690,353510;38985,222150
223;-14763,033396;787659149,325232;28065,265887;31711,296164
224;-6806,213426;870795134,011304;29509,238113;30283,983807
225;540,506933;873892446,216514;29561,671912;29566,612825
226;-3253,072044;992757190,265795;31508,049611;31675,537375
227;-11674,749492;565531236,476299;23780,900666;26492,093390
228;-7616,836612;1342396201,108949;36638,725430;37422,084403
229;-11576,527679;793965150,213075;28177,387214;30462,782921
230;-11681,287495;1058108187,717872;32528,574941;34562,416947
231;-15900,872775;910360010,940056;30172,172791;34105,685244
232;-13718,379545;878960628,391989;29647,270168;32667,331782
233;-2715,393154;745238828,259494;27299,062773;27433,778235
234;-13993,299184;1370910772,882971;37025,812251;39581,854364
235;-255,773922;940931143,445090;30674,600950;30675,667291
236;1483,636923;928386954,294278;30469,442960;30505,542657
237;1387,536719;580172567,625797;24086,771631;24126,703583
238;-428,896234;1176298582,411516;34297,209543;34299,891172
239;-4752,819538;964250851,466857;31052,388821;31414,011922
240;-8078,677365;452389148,338152;21269,441656;22752,014775
241;-3715,908897;1038961106,618670;32232,919611;32446,403276
242;-8492,909190;982776664,806687;31349,268968;32479,319132
243;-20496,400611;1185808242,826188;34435,566538;40073,815401
244;1185,410157;1106389054,465339;33262,427068;33283,543256
245;-3872,907556;951201865,966278;30841,560693;31083,778388
246;-15446,039224;998842522,061037;31604,469970;35177,018773
247;-8481,420112;800126359,423288;28286,504899;29530,676364
248;-18312,520139;1177375818,735126;34312,910380;38893,755445
249;-7624,679155;1112010853,664689;33346,826741;34207,405425
250;-5538,125215;617221396,988811;24843,940851;25453,727190
251;-13707,038765;957691023,651548;30946,583392;33846,328240
252;-7006,838496;547130805,502982;23390,827380;24417,751559
253;-11870,051429;639668755,657504;25291,673643;27938,626963
254;-17088,580097;1025417844,030498;32022,146150;36296,520684
255;-14895,458331;792030923,884441;28143,043970;31841,884410
256;-7222,828298;1287906515,259684;35887,414441;36607,045277
257;-2816,197200;699216296,280388;26442,698355;26592,240653
258;-14422,250390;810114105,697061;28462,503504;31907,920835
259;-21981,621393;1208847451,655539;34768,483597;41134,403250
260;-7863,709734;1233937046,460049;35127,440078;35996,874548
261;-14106,441070;763263094,996042;27627,216563;31020,231699
262;3154,398355;788885787,078653;28087,110693;28263,687234
263;-7076,868736;1044295348,286010;32315,558920;33081,375718
264;-15278,040916;878920990,672918;29646,601672;33351,754450
265;-14046,334234;889323354,307497;29821,525016;32963,963046
266;-10752,745906;763006087,904942;27622,564832;29641,653672
267;-16052,944339;836658664,019747;28925,052533;33081,047232
268;-17669,271495;976646720,963072;31251,347506;35900,555374
269;-8866,842604;1247430416,848211;35318,980971;36414,987500
270;-15048,101394;914631796,560468;30242,880097;33779,833513
271;-5363,724674;1060009321,413136;32557,784344;32996,649281
272;-9443,627606;887152152,115611;29785,099498;31246,347858
273;-23018,502036;1097103230,283871;33122,548668;40335,526106
