episode;delta_v
693;0,521126
694;1,006935
695;0,446330
696;0,690819
697;0,354845
698;1,358965
699;1,195720
700;0,758141
701;0,836089
702;1,085442
703;0,893370
704;1,000888
705;0,789428
706;1,373483
707;0,986126
708;1,301329
709;0,847261
710;0,404095
711;0,830546
712;0,873513
713;0,841821
714;0,494219
715;0,818719
716;0,890050
717;1,265266
718;0,798802
719;0,830413
720;0,658668
721;0,751293
722;0,735879
723;0,556735
724;1,095900
725;1,285095
726;0,703477
727;0,618830
728;0,498365
729;1,165836
730;0,708441
731;0,704769
732;0,479345
733;0,808311
734;1,175940
735;0,420378
736;0,544202
737;0,986091
738;0,973858
739;0,578612
740;0,588561
741;0,667807
742;0,549907
743;1,901970
744;1,049375
745;0,549666
746;1,428417
747;1,184393
748;0,683238
749;0,529856
750;1,614365
751;0,658131
752;0,798704
753;0,852512
754;0,704116
755;2,491263
756;0,811411
757;0,809000
758;0,939588
759;0,706710
760;0,815398
761;1,722787
762;0,645426
763;1,268493
764;0,676587
765;0,593964
766;0,918430
767;1,176046
768;1,076155
769;0,703793
770;0,739489
771;1,054135
772;1,250612
773;1,227636
774;0,829103
775;0,837654
776;0,459041
777;1,009159
778;1,141348
779;1,161651
780;0,510472
781;0,554794
782;0,854781
783;0,812909
784;0,776868
785;0,554721
786;1,069627
787;0,664341
788;0,616239
789;1,148421
790;1,548929
791;0,848844
792;0,778587
793;0,547771
794;0,818277
795;0,745088
796;0,816650
797;0,899619
798;0,721689
799;0,806701
800;0,429877
801;1,108382
802;0,498308
803;1,329749
804;0,741363
805;1,215989
806;0,697854
807;0,849644
808;0,710269
809;1,448988
810;0,974064
811;0,444782
812;0,420232
813;1,485276
814;0,817708
815;1,001880
816;0,666449
817;0,486867
818;0,943746
819;1,513665
820;0,759345
821;0,806949
822;1,147494
823;1,008719
824;1,060372
825;0,451970
826;0,585876
827;0,880920
828;1,064290
829;0,760740
830;0,486164
831;1,396534
832;0,756686
833;2,029715
834;0,634749
835;1,146128
836;0,518253
837;1,059759
838;0,715931
839;0,716705
840;1,149995
841;0,748985
842;1,704184
843;0,648764
844;1,075272
845;0,758549
846;0,831656
847;1,047170
848;1,675391
849;0,905538
850;1,093927
851;1,564587
852;0,889113
853;1,392770
854;1,071205
855;0,729176
856;0,888745
857;0,993890
858;0,919990
859;0,831961
860;1,323106
861;0,922311
862;0,861501
863;0,822427
864;0,597743
865;1,793025
866;1,133245
867;0,632584
868;0,833351
869;0,767788
870;1,214184
871;1,101254
872;0,781576
873;1,110537
874;0,853983
875;0,836940
876;0,965089
877;0,853503
878;1,375191
879;0,908047
880;0,723530
881;1,058388
882;1,074701
883;1,167990
884;1,234502
885;0,596793
886;0,731708
887;0,777316
888;0,693871
889;0,414773
890;0,475713
891;1,381945
892;0,776980
893;0,573109
894;0,689101
895;0,991432
896;1,673145
897;0,797320
898;0,691005
899;1,048109
900;1,141333
901;0,927428
902;0,464671
903;0,924652
904;0,737690
905;0,978846
906;1,296599
907;0,723323
908;0,869127
909;1,088857
910;1,728228
911;0,562465
912;0,924418
913;1,877020
914;1,202598
915;0,903220
916;0,706778
917;1,703173
918;0,837500
919;0,665722
920;0,924456
921;0,616888
922;1,780042
923;0,827082
924;0,505807
925;0,878680
926;0,830946
927;0,515291
928;1,145596
929;0,594452
930;0,482666
931;1,750126
932;0,875696
933;0,954899
934;0,793189
935;1,526039
936;1,400191
937;0,807204
938;0,820439
939;1,016461
940;1,610139
941;1,652130
942;1,016925
943;0,697210
944;0,952878
945;0,730061
946;0,761202
947;0,844932
948;0,999191
949;1,214388
950;0,722548
951;0,904777
952;1,163440
953;0,545798
954;0,775137
955;2,069567
956;0,719099
957;0,826449
958;0,764520
959;0,635702
960;1,058006
961;0,480461
962;0,797576
963;1,382093
964;0,896540
965;0,890748
966;1,533351
967;1,030030
968;1,703053
969;1,515731
970;1,499777
971;0,579843
972;1,489188
973;0,813291
974;0,622028
975;0,625622
976;0,524894
977;0,723153
978;0,600514
979;0,973460
980;0,500413
981;2,185771
982;0,897635
983;0,679131
984;1,427623
985;0,813028
986;0,309558
987;0,741888
988;1,379959
989;1,435755
990;0,700967
991;0,733415
992;0,759946
993;0,956750
994;0,806503
995;0,579827
996;2,463098
997;0,378423
998;1,466671
999;0,564179
1000;1,828178
1001;0,889388
1002;1,088364
1003;1,212818
1004;1,863983
1005;0,289617
1006;0,453595
1007;0,913647
1008;1,114326
1009;0,969030
1010;0,589511
1011;0,595953
1012;0,838224
1013;0,610878
1014;0,647273
1015;0,664950
1016;1,093575
1017;0,372092
1018;0,547118
1019;0,722200
1020;1,622056
1021;0,736011
1022;0,668061
1023;0,860872
1024;0,680386
1025;1,079505
1026;0,840450
1027;1,598352
1028;0,850543
1029;1,482224
1030;1,203119
1031;0,554087
1032;0,565466
1033;1,047519
1034;1,748951
1035;0,833008
1036;0,734324
1037;0,547198
1038;1,320154
1039;1,105907
1040;1,414561
1041;0,576085
1042;0,821345
1043;0,925630
1044;0,476474
1045;0,804592
1046;0,639108
1047;0,752226
1048;0,658592
1049;2,301446
1050;0,697271
1051;1,138044
1052;1,287418
1053;0,483089
1054;0,865103
1055;0,529979
1056;0,622005
1057;0,408031
1058;0,623029
1059;1,134226
1060;0,337845
1061;1,044247
1062;0,474997
1063;0,453143
1064;0,301682
1065;0,568105
1066;0,780057
1067;0,711790
1068;0,646483
1069;0,523780
1070;0,618032
1071;0,763053
1072;0,801966
1073;1,083525
1074;0,536192
1075;0,490269
1076;0,839779
1077;0,315655
1078;0,871932
1079;1,349673
1080;1,196046
1081;1,360595
1082;0,878890
1083;0,995269
1084;1,310157
1085;1,020909
1086;1,117693
1087;1,177432
1088;0,890060
1089;0,482151
1090;0,697250
1091;0,916875
1092;0,565857
1093;1,016114
1094;1,372810
1095;0,857262
1096;0,894066
1097;1,017720
1098;1,674234
1099;0,800586
1100;0,874111
1101;0,493984
1102;1,289925
1103;0,807486
1104;0,995325
1105;0,978318
1106;0,899267
1107;1,220521
1108;1,231925
1109;0,831380
1110;0,539443
1111;0,825896
1112;1,515046
1113;0,681834
1114;0,767302
1115;0,649565
1116;0,589340
1117;1,137810
1118;0,915428
1119;2,283337
1120;0,431453
1121;2,280645
1122;1,271864
1123;0,705704
1124;0,546575
1125;0,597265
1126;0,453406
1127;1,349276
1128;1,184438
1129;1,527383
1130;0,955611
1131;0,504660
1132;1,023101
1133;1,438120
1134;1,320435
1135;0,853337
1136;0,891378
1137;1,145143
1138;1,821990
1139;1,156527
1140;0,464662
1141;0,823755
1142;0,728727
1143;1,181443
1144;0,922659
1145;0,744408
1146;1,765465
1147;0,688580
1148;0,378892
1149;1,097726
1150;0,902436
1151;0,947341
1152;1,483935
1153;0,876889
1154;0,834249
1155;1,621234
1156;0,675401
1157;0,387656
1158;0,820125
1159;1,709567
1160;1,360374
1161;1,089096
1162;0,603172
1163;2,383824
1164;1,269917
1165;0,772643
1166;0,748336
1167;1,410112
1168;1,052007
1169;1,253437
1170;1,030582
1171;1,382232
1172;0,542168
1173;0,686982
1174;0,548951
1175;0,868890
1176;0,919512
1177;0,558419
1178;0,964095
1179;0,582683
1180;0,774167
1181;0,840263
1182;0,552303
1183;0,515237
1184;0,852230
1185;0,508166
1186;0,526866
1187;0,864153
1188;1,699141
1189;0,610797
1190;0,844228
1191;1,851662
1192;0,742237
1193;1,061859
1194;2,225585
1195;1,326103
1196;1,307043
1197;1,007705
1198;1,604601
1199;0,570816
1200;0,963043
1201;0,603865
1202;0,912814
1203;0,743585
1204;0,374809
1205;0,899524
1206;1,564427
1207;1,593618
1208;1,156504
1209;1,854265
1210;0,713471
1211;1,162067
1212;0,511431
1213;1,033478
1214;1,015533
1215;2,402500
1216;0,567176
1217;0,596212
1218;0,713660
1219;0,794295
1220;0,377631
1221;1,500263
1222;0,697780
1223;0,456299
1224;1,773505
1225;1,383047
1226;0,585740
1227;0,990501
1228;2,120977
1229;0,806253
1230;0,595977
1231;0,348371
1232;0,579147
1233;1,052377
1234;1,275100
1235;0,574675
1236;0,974191
1237;0,455983
1238;1,238159
1239;0,462217
1240;1,348004
1241;0,653659
1242;0,925784
1243;0,757246
1244;0,552609
1245;1,699938
1246;1,027085
1247;1,748862
1248;1,100484
1249;1,188992
1250;0,881886
1251;1,070179
1252;2,517368
1253;0,890815
1254;0,751152
1255;0,953254
1256;0,948280
1257;0,903980
1258;1,095543
1259;0,916207
1260;1,071494
1261;1,221599
1262;1,423956
1263;0,724227
1264;0,928702
1265;0,444212
1266;0,759764
1267;0,685293
1268;1,284144
1269;1,298689
1270;1,031848
1271;0,748327
1272;1,175853
1273;0,730583
1274;1,081282
1275;0,501738
1276;0,466787
1277;0,374853
1278;1,894569
1279;0,849294
1280;1,569589
1281;0,570268
1282;0,700412
1283;1,389583
1284;1,008113
1285;1,827054
1286;0,405282
1287;0,841283
1288;1,077843
1289;3,173377
1290;1,061383
1291;1,964638
1292;1,741502
1293;0,779350
1294;0,666020
1295;0,683319
1296;0,745879
1297;0,575358
1298;0,807360
1299;1,945885
1300;0,955072
1301;1,128596
1302;0,842785
1303;0,770896
1304;0,864211
1305;1,859289
1306;0,644346
1307;1,743871
1308;0,985936
1309;0,680278
1310;1,492843
1311;0,799386
1312;1,889124
1313;1,242891
1314;0,653085
1315;0,454472
1316;0,269078
1317;0,918454
1318;0,652624
1319;1,327729
1320;0,479768
1321;0,875300
1322;1,904439
1323;0,768658
1324;1,681725
1325;0,906463
1326;0,739867
1327;1,509376
1328;0,681938
1329;2,167373
1330;1,696087
1331;0,818434
1332;0,533733
1333;0,740250
1334;0,580671
1335;0,885949
1336;0,739998
1337;0,416428
1338;0,614492
1339;0,987317
1340;2,410529
1341;0,479732
1342;1,321236
1343;2,100988
1344;1,896896
1345;0,594764
1346;1,213024
1347;0,563351
1348;2,286429
1349;0,729579
1350;0,413208
1351;1,802408
1352;1,025256
1353;0,601373
1354;1,134474
1355;0,904590
1356;1,897774
1357;0,967711
1358;1,355375
1359;1,100368
1360;0,806667
1361;0,387203
1362;0,747162
1363;0,766361
1364;0,268147
1365;1,823756
