episode;consensus_deviation
796;12,660740
797;12,448195
798;12,510615
799;12,537492
800;12,549944
801;12,598771
802;12,712929
803;12,731392
804;12,619761
805;12,629129
806;12,721429
807;12,661405
808;12,663463
809;12,615010
810;12,455627
811;12,579469
812;12,624412
813;12,610607
814;12,760865
815;12,702803
816;12,619946
817;12,545878
818;12,452470
819;12,391464
820;12,523017
821;12,461818
822;12,390550
823;12,489124
824;12,608470
825;12,716042
826;12,739625
827;12,767788
828;12,663411
829;12,726207
830;12,672369
831;12,590207
832;12,529835
833;12,411744
834;12,558791
835;12,566964
836;12,780170
837;12,755293
838;12,700516
839;12,664214
840;12,563362
841;12,574531
842;12,503322
843;12,655773
844;12,806945
845;12,613656
846;12,560126
847;12,478075
848;12,501281
849;12,716343
850;12,616947
851;12,733911
852;12,793436
853;12,954902
854;12,969554
855;12,791791
856;12,765418
857;12,682171
858;12,840525
859;12,790784
860;12,750985
861;12,900115
862;12,701106
863;12,539159
864;12,439477
865;12,384594
866;12,403097
867;12,628535
868;12,756905
869;12,803927
870;12,833365
871;12,820499
872;12,834161
873;12,843175
874;12,687640
875;12,834787
876;12,817635
877;12,794183
878;12,754330
879;12,825360
880;12,892335
881;12,968716
882;12,876581
883;12,826945
884;12,807111
885;12,812229
886;12,673571
887;12,598250
888;12,604982
889;12,538808
890;12,514805
891;12,557949
892;12,701638
893;12,626142
894;12,641557
895;12,625595
896;12,562377
897;12,712209
898;12,801123
899;12,743546
900;12,701687
901;12,909718
902;13,023652
903;13,008258
904;12,945737
905;12,912969
906;12,856045
907;12,869482
908;13,030316
909;13,063107
910;13,084529
911;12,954306
912;13,112959
913;13,377808
914;13,340676
915;13,254593
916;13,275190
917;13,360965
918;13,282082
919;13,294979
920;13,227589
921;13,231193
922;13,169151
923;12,972352
924;12,886342
925;12,855146
926;12,760534
927;12,749350
928;12,757863
929;12,606411
930;12,596588
931;12,563717
932;12,533022
933;12,549756
934;12,444857
935;12,423113
936;12,555257
937;12,519240
938;12,428542
939;12,642109
940;12,791215
941;12,811150
942;12,997650
943;12,963567
944;12,889883
945;12,883219
946;12,757069
947;12,731760
948;12,749337
949;12,708101
950;12,781194
951;12,682843
952;12,639322
953;12,673311
954;12,585643
955;12,557170
956;12,764432
957;12,708778
958;12,603550
959;12,532335
960;12,529942
961;12,763954
962;12,732350
963;12,797897
964;12,805995
965;12,779996
966;12,846728
967;12,676788
968;12,587721
969;12,791152
970;12,638032
971;12,817298
972;12,803342
973;12,886756
974;12,794562
975;12,698109
976;12,530359
977;12,446342
978;12,445254
979;12,483927
980;12,365952
981;12,368818
982;12,595160
983;12,485162
984;12,493688
985;12,551433
986;12,483875
987;12,342749
988;12,342272
989;12,367483
990;12,395882
991;12,396377
992;12,294533
993;12,290286
994;12,302286
995;12,194394
996;12,054631
997;12,146767
998;12,142626
999;12,023039
1000;11,989574
1001;12,173490
1002;12,216200
1003;12,155319
1004;12,084475
1005;12,130969
1006;12,115223
1007;12,101625
