episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph_initial;env_delta_ph_final;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
1106;24;0,557423;21950,119854;1,000000;21950,119854;1;57148,760541;2,000000;57148,760541;1;0,504055;1;0,000000;0,000000;0,000000;0;59,374894;0;20331,715469;0;21950,119854;1;79098,880395;1;79098,880395;1;0,000000;0;0,000000;0;;-1,000000;0,096020;1,000000;-36817,045072;-58767,164926;-0,195891;-1,000000;-57148,760541;-0,190496;-1,000000
1106;25;0,557423;33901,145852;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,504055;1;68764,955399;0,000000;0,000000;0;49,082058;0;59346,305269;0;0,000000;0;0,000000;0;68764,955399;1;0,000000;0;-68764,955399;0;;1,000000;-1,000000;-1,000000;-9418,650131;-9418,650131;-0,031396;-1,000000;-68764,955399;-0,229217;-1,000000
1106;26;0,557423;15026,056667;1,000000;15026,056667;1;33384,185263;2,000000;33384,185263;1;0,502664;1;0,000000;0,000000;0,000000;0;42,177470;0;30082,158594;0;15026,056667;1;48410,241930;1;48410,241930;1;0,000000;0;0,000000;0;;-1,000000;0,055937;1,000000;-3302,026670;-18328,083336;-0,061094;-1,000000;-33384,185263;-0,111281;-1,000000
1106;27;0,557423;32827,409304;1,000000;32827,409304;1;24445,719124;2,000000;24445,719124;1;0,501645;1;0,000000;0,000000;0,000000;0;51,563991;0;40833,734009;0;32827,409304;1;57273,128428;1;57273,128428;1;0,000000;0;0,000000;0;;1,000000;0,040877;1,000000;16388,014885;-16439,394418;-0,054798;-1,000000;-24445,719124;-0,081486;-1,000000
1106;28;0,557423;20497,867297;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,501645;1;47275,385102;0,000000;0,000000;0;28,147019;0;65829,565251;0;0,000000;0;0,000000;0;47275,385102;1;0,000000;0;-47275,385102;0;;-1,000000;-1,000000;-1,000000;18554,180149;18554,180149;0,061847;1,000000;-47275,385102;-0,157585;-1,000000
1106;29;0,557423;43297,479050;1,000000;43297,479050;1;3703,162020;1,000000;-3703,162020;1;0,501800;1;0,000000;0,000000;0,000000;0;36,256595;0;45218,158634;0;43297,479050;1;43297,479050;1;43297,479050;1;0,000000;0;0,000000;0;;1,000000;0,498200;1,000000;48921,320654;5623,841604;0,018746;1,000000;3703,162020;0,012344;1,000000
1106;30;0,557423;34303,893576;1,000000;34303,893576;1;11003,193032;2,000000;11003,193032;1;0,501341;1;0,000000;1,000000;0,000000;0;31,050552;0;47764,173415;0;34303,893576;1;45307,086608;1;45307,086608;1;0,000000;0;0,000000;0;;1,000000;0,018388;-1,000000;36760,980383;2457,086807;0,008190;0,000000;-11003,193032;-0,036677;-1,000000
1106;31;0,557423;38284,080695;1,000000;38284,080695;1;8651,332278;2,000000;8651,332278;1;0,500981;1;0,000000;1,000000;0,000000;0;39,585345;0;43245,666845;0;38284,080695;1;46935,412973;1;46935,412973;1;0,000000;0;0,000000;0;;1,000000;0,014447;-1,000000;34594,334566;-3689,746128;-0,012299;-1,000000;-8651,332278;-0,028838;-1,000000
1106;32;0,557423;33650,091374;0,000000;0,000000;1;48204,705325;2,000000;48204,705325;0;0,498972;0;0,000000;0,000000;0,000000;0;34,974021;0;73385,695493;0;0,000000;0;48204,705325;1;48204,705325;1;0,000000;0;0,000000;0;;-1,000000;0,080176;1,000000;25180,990168;25180,990168;0,083937;1,000000;-48204,705325;-0,160682;-1,000000
1106;33;0,557423;18528,398674;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,498972;0;39350,063320;0,000000;0,000000;0;44,429630;0;52903,152310;0;0,000000;0;0,000000;0;39350,063320;1;0,000000;0;-39350,063320;0;;-1,000000;-1,000000;-1,000000;13553,088990;13553,088990;0,045177;1,000000;-39350,063320;-0,131167;-1,000000
1106;34;0,557423;25878,745709;0,000000;0,000000;1;91857,162159;2,000000;91857,162159;0;0,495145;0;0,000000;1,000000;0,000000;0;73,656312;0;54528,966827;0;0,000000;0;91857,162159;1;91857,162159;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-37328,195333;-37328,195333;-0,124427;-1,000000;-91857,162159;-0,306191;-1,000000
1106;35;0,557423;49521,972110;1,000000;49521,972110;1;0,000000;1,000000;0,000000;0;0,495145;0;37555,664123;0,000000;0,000000;0;64,906203;0;16758,895303;0;49521,972110;1;49521,972110;1;87077,636233;1;0,000000;0;-37555,664123;0;;-1,000000;-1,000000;1,000000;-20796,768820;-70318,740929;-0,234396;-1,000000;-37555,664123;-0,125186;-1,000000
1106;36;0,557423;44161,776399;0,000000;0,000000;1;86449,672780;2,000000;86449,672780;0;0,491543;0;0,000000;0,000000;0,000000;0;71,422166;0;59127,464243;0;0,000000;0;86449,672780;1;86449,672780;1;0,000000;0;0,000000;0;;1,000000;-1,000000;1,000000;-27322,208537;-27322,208537;-0,091074;-1,000000;-86449,672780;-0,288166;-1,000000
