episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
534;27;0,492192;69995,601640;1,000000;69995,601640;1;0,000000;2,000000;0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;21,189895;0;69995,601640;1;69995,601640;1;69995,601640;1;26027,541848;1;0,000000;0;43968,059792;1;;-1,000000;-1,000000;1,000000;43968,059792;0,146560;1,000000
534;28;0,492192;58111,127506;1,000000;58111,127506;1;36560,889393;1,000000;-0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;29,269874;0;58111,127506;1;58111,127506;1;58111,127506;1;21550,238112;1;0,000000;0;36560,889393;1;;-1,000000;0,000000;1,000000;36560,889393;0,121870;1,000000
534;29;0,492192;39388,477582;1,000000;39388,477582;1;0,000000;0,000000;0,000000;2;1,000000;2;0,000000;1,000000;0,000000;0;25,177762;0;39388,477582;1;39388,477582;1;39388,477582;1;26062,657425;1;0,000000;0;13325,820157;1;;-1,000000;-1,000000;-1,000000;13325,820157;0,044419;1,000000
534;30;0,492192;30392,716644;0,000000;0,000000;1;69671,340942;2,000000;42240,000000;0;0,000000;0;27431,340942;0,000000;0,000000;0;37,369549;0;44108,233615;1;0,000000;0;42240,000000;1;69671,340942;1;0,000000;0;-27431,340942;0;;1,000000;0,000000;1,000000;-25563,107327;-0,085210;-1,000000
534;31;0,492192;25310,106844;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,000000;0;76076,151560;0,000000;0,000000;0;57,641549;0;44893,300937;1;0,000000;0;0,000000;0;76076,151560;1;0,000000;0;-76076,151560;0;;1,000000;-1,000000;-1,000000;-31182,850623;-0,103943;-1,000000
534;32;0,492192;56358,674296;1,000000;56358,674296;1;0,000000;1,000000;0,000000;0;0,000000;0;8285,128408;0,000000;0,000000;0;43,136934;0;81105,048650;1;56358,674296;1;56358,674296;1;64643,802704;1;0,000000;0;-8285,128408;0;;1,000000;1,000000;1,000000;16461,245947;0,054871;1,000000
534;33;0,492192;41634,432362;1,000000;41634,432362;1;0,000000;0,000000;0,000000;0;0,000000;0;35183,309763;0,000000;0,000000;0;40,059827;0;79976,476297;1;41634,432362;1;41634,432362;1;76817,742125;1;0,000000;0;-35183,309763;0;;1,000000;-1,000000;1,000000;3158,734172;0,010529;1,000000
534;34;0,492192;36925,416040;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,000000;0;52728,981946;0,000000;0,000000;0;35,537129;0;83645,165990;1;0,000000;0;0,000000;0;52728,981946;1;0,000000;0;-52728,981946;0;;-1,000000;1,000000;1,000000;30916,184044;0,103054;1,000000
534;35;0,492192;33661,209808;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,000000;0;42726,147635;0,000000;0,000000;0;23,056277;0;96054,287067;1;0,000000;0;0,000000;0;42726,147635;1;0,000000;0;-42726,147635;0;;-1,000000;1,000000;1,000000;53328,139433;0,177760;1,000000
534;36;0,492192;33081,738202;1,000000;33081,738202;1;0,000000;1,000000;0,000000;0;0,000000;0;16876,207060;1,000000;16876,207060;1;39,148113;0;96876,327255;1;33081,738202;1;49957,945263;1;49957,945263;1;16876,207060;1;0,000000;0;;1,000000;1,000000;-1,000000;46918,381993;0,156395;1,000000
