episode;mean_demand_power;mean_energy_balance;mean_renewable_power;mean_total_power;total_reward_wind;total_reward_battery;total_reward_grid;wind_activation_rate;battery_charge_rate;battery_discharge_rate;grid_import_rate
1100;71942,774692;-41936,202884;6181,938421;30006,571807;71,000000;-87,376697;47,000000;0,197917;0,572917;0,218750;0,177083
1101;67805,460721;-32547,204709;3243,963976;35258,256012;69,000000;-95,000000;25,000000;0,145833;0,333333;0,354167;0,208333
1102;60134,606702;5175,199776;29760,868460;65309,806478;71,000000;-36,516601;57,750000;0,437500;0,083333;0,812500;0,166667
1103;57084,533479;225,134062;26204,907470;57309,667540;77,000000;-37,411945;51,000000;0,427083;0,114583;0,770833;0,166667
1104;60062,946500;211,912152;45996,235328;60274,858652;61,000000;-30,992967;71,000000;0,635417;0,437500;0,447917;0,104167
1105;66094,736181;-9852,494832;23725,393400;56242,241348;73,000000;-31,276830;75,000000;0,354167;0,281250;0,625000;0,052083
1106;74313,514681;-14989,374775;52674,842382;59324,139906;83,000000;9,665341;63,000000;0,666667;0,802083;0,083333;0,125000
1107;65799,378353;-493,508083;26352,859661;65305,870270;63,000000;-28,938160;45,000000;0,406250;0,072917;0,791667;0,187500
1108;70863,206476;-49936,614732;3945,456429;20926,591745;73,000000;-87,177202;57,000000;0,166667;0,812500;0,083333;0,125000
1109;63860,681593;-143,577502;25846,264534;63717,104091;65,000000;-29,160864;63,000000;0,375000;0,093750;0,812500;0,114583
111;61038,604852;-3783,822894;37000,367011;57254,781958;13,000000;-64,051246;-5,000000;0,500000;0,468750;0,260417;0,541667
1110;65049,956734;-12355,653993;5184,906035;52694,302740;57,000000;-10,946349;61,000000;0,218750;0,083333;0,802083;0,072917
1111;65044,503820;-8115,067826;3923,974786;56929,435994;67,000000;-5,341413;55,000000;0,166667;0,104167;0,833333;0,166667
1112;54835,410123;-33287,036288;13824,041286;21548,373835;67,000000;-70,484258;55,000000;0,322917;0,718750;0,125000;0,135417
1113;62198,011080;-22645,853016;30425,374998;39552,158064;77,000000;-45,836321;61,000000;0,468750;0,770833;0,114583;0,135417
1114;61067,305855;-35960,511123;13754,441009;25106,794732;73,000000;-69,192746;49,000000;0,322917;0,833333;0,062500;0,187500
1115;72472,798071;-14185,090287;50108,614029;58287,707784;71,000000;-11,222970;55,000000;0,625000;0,718750;0,187500;0,135417
1116;68653,783159;-5869,256791;10687,978597;62784,526367;75,000000;-13,159767;53,000000;0,218750;0,052083;0,843750;0,145833
1117;68585,981689;-28312,154481;33371,893039;40273,827208;55,000000;-49,127642;67,000000;0,458333;0,729167;0,125000;0,072917
1118;66598,111240;-15136,181128;35411,023703;51461,930112;67,000000;-25,558963;39,750000;0,489583;0,645833;0,208333;0,229167
1119;60043,206795;-20662,816457;26571,206782;39380,390338;69,000000;-50,248875;63,000000;0,416667;0,687500;0,156250;0,125000
112;67848,319551;-18975,027356;11023,034436;48873,292194;13,000000;-91,085958;5,750000;0,479167;0,385417;0,270833;0,531250
1120;71961,771628;-21951,459646;40697,330552;50010,311982;69,000000;-33,440721;69,000000;0,520833;0,750000;0,166667;0,114583
1121;64193,913466;5231,755697;38498,702747;69425,669163;75,000000;-38,725278;79,000000;0,489583;0,177083;0,729167;0,072917
1122;59623,364438;-23,625120;39710,379391;59599,739318;51,000000;-46,177788;61,000000;0,520833;0,302083;0,593750;0,145833
1123;67964,395768;-9804,254695;4311,351986;58160,141073;69,000000;-8,152035;71,000000;0,145833;0,083333;0,812500;0,072917
1124;64331,766496;-37643,163390;6445,596452;26688,603107;71,000000;-79,367868;41,750000;0,229167;0,687500;0,156250;0,166667
1125;73130,474892;-12779,555399;8225,463595;60350,919493;65,000000;-18,629998;53,000000;0,229167;0,093750;0,750000;0,135417
1126;69351,315973;-12373,502899;49250,279264;56977,813074;79,000000;-22,327744;51,000000;0,614583;0,666667;0,114583;0,135417
1127;68829,839711;-634,380796;13665,393599;68195,458915;83,000000;-18,640421;73,000000;0,270833;0,041667;0,895833;0,093750
1128;67286,712536;-42894,936905;4865,112060;24391,775631;65,000000;-88,833281;35,000000;0,197917;0,625000;0,156250;0,135417
1129;58004,861759;16014,875239;52583,649976;74019,736998;77,000000;-52,526198;75,000000;0,604167;0,114583;0,812500;0,072917
