episode;step;epsilon;potential_solar#0;action_solar#0;power_solar#0;idx_solar#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_solar#0;reward_battery#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
157;43;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;123,420000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-176,580000;-0,000589;0,000000
157;44;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;350,001000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;50,001000;0,000167;0,000000
157;45;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;318,750000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;18,750000;0,000063;0,000000
157;46;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;283,815000;1;0,000000;0;0,000000;0;278,610000;1;0,000000;0;-278,610000;0;;1,000000;1,000000;5,205000;0,000017;0,000000
157;47;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;188,025000;1;0,000000;0;0,000000;0;255,540000;1;0,000000;0;-255,540000;0;;1,000000;1,000000;-67,515000;-0,000225;0,000000
157;48;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;143,751000;1;0,000000;0;0,000000;0;240,000000;1;0,000000;0;-240,000000;0;;1,000000;1,000000;-96,249000;-0,000321;0,000000
157;49;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;121,842000;1;0,000000;0;0,000000;0;233,920000;1;0,000000;0;-233,920000;0;;1,000000;1,000000;-112,078000;-0,000374;0,000000
157;50;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;24,999000;1;0,000000;0;0,000000;0;200,000000;1;0,000000;0;-200,000000;0;;1,000000;1,000000;-175,001000;-0,000583;0,000000
157;51;0,211055;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;24,999000;1;0,000000;0;0,000000;0;224,000000;1;0,000000;0;-224,000000;0;;1,000000;1,000000;-199,001000;-0,000663;0,000000
157;52;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;24,999000;1;0,000000;0;0,000000;0;232,510000;1;0,000000;0;-232,510000;0;;1,000000;1,000000;-207,511000;-0,000692;0,000000
157;53;0,211055;18,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;56,421000;1;0,000000;0;0,000000;0;262,550000;1;0,000000;0;-262,550000;0;;1,000000;1,000000;-206,129000;-0,000687;0,000000
157;54;0,211055;36,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;173,895000;1;0,000000;0;0,000000;0;272,040000;1;0,000000;0;-272,040000;0;;1,000000;1,000000;-98,145000;-0,000327;0,000000
157;55;0,211055;49,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;205,749000;1;0,000000;0;0,000000;0;276,000000;1;0,000000;0;-276,000000;0;;1,000000;1,000000;-70,251000;-0,000234;0,000000
157;56;0,211055;63,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;251,685000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-48,315000;-0,000161;0,000000
157;57;0,211055;85,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;249,249000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-50,751000;-0,000169;0,000000
157;58;0,211055;121,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;275,184000;1;0,000000;0;0,000000;0;292,000000;1;0,000000;0;-292,000000;0;;1,000000;1,000000;-16,816000;-0,000056;0,000000
157;59;0,211055;157,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;219,738000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-80,262000;-0,000268;0,000000
157;60;0,211055;103,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;128,499000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-171,501000;-0,000572;0,000000
157;61;0,211055;76,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;101,499000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-198,501000;-0,000662;0,000000
157;62;0,211055;40,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;65,499000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-234,501000;-0,000782;0,000000
157;63;0,211055;31,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;56,499000;1;0,000000;0;0,000000;0;293,640000;1;0,000000;0;-293,640000;0;;1,000000;1,000000;-237,141000;-0,000790;0,000000
157;64;0,211055;22,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;241,251000;1;0,000000;0;0,000000;0;278,360000;1;0,000000;0;-278,360000;0;;1,000000;1,000000;-37,109000;-0,000124;0,000000
157;65;0,211055;0,000000;0,000000;0,000000;0;0,000000;1,000000;0,000000;1;0,977822;1;1,000000;0;220,725000;1;0,000000;0;0,000000;0;283,790000;1;0,000000;0;-283,790000;0;;1,000000;-1,000000;-63,065000;-0,000210;0,000000
157;66;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;193,749000;1;0,000000;0;0,000000;0;292,000000;1;0,000000;0;-292,000000;0;;1,000000;1,000000;-98,251000;-0,000328;0,000000
157;67;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;76,185000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-223,815000;-0,000746;0,000000
157;68;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;24,999000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-275,001000;-0,000917;0,000000
