episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph_initial;env_delta_ph_final;env_delta_ph_norm;env_delta_ph_idx
0;53;1,000000;32566,002969;1,000000;32566,002969;1;0,000000;1,000000;0,000000;0;0,199320;0;2775,727209;1,000000;2775,727209;1;27,201268;0;0,000000;0;32566,002969;1;35341,730178;1;35341,730178;1;2775,727209;1;0,000000;0;;1,000000;-1,000000;-1,000000;-2775,727209;-35341,730178;-0,117806;-1,000000
0;54;1,000000;51539,850483;1,000000;51539,850483;1;0,000000;0,000000;0,000000;0;0,199320;0;0,000000;1,000000;0,000000;0;35,836647;0;0,000000;0;51539,850483;1;51539,850483;1;35506,108469;1;0,000000;0;16033,742014;1;;-1,000000;-1,000000;1,000000;16033,742014;-35506,108469;-0,118354;-1,000000
0;55;1,000000;46193,450684;1,000000;46193,450684;1;0,000000;0,000000;0,000000;0;0,199320;0;0,000000;0,000000;0,000000;0;29,949673;0;0,000000;0;46193,450684;1;46193,450684;1;36007,260278;1;0,000000;0;10186,190406;1;;-1,000000;-1,000000;-1,000000;10186,190406;-36007,260278;-0,120024;-1,000000
0;56;1,000000;58055,436562;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,199320;0;30185,970743;0,000000;0,000000;0;12,580041;0;58055,436562;0;0,000000;0;0,000000;0;30185,970743;1;0,000000;0;-30185,970743;0;;-1,000000;0,800680;1,000000;27869,465819;27869,465819;0,092898;1,000000
0;57;1,000000;49191,795033;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,199320;0;32497,352243;1,000000;32497,352243;1;25,954662;0;49191,795033;0;0,000000;0;32497,352243;1;32497,352243;1;32497,352243;1;0,000000;0;;-1,000000;0,800680;-1,000000;16694,442791;16694,442791;0,055648;1,000000
0;58;1,000000;52767,952404;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,199320;0;36045,959280;0,000000;0,000000;0;28,638910;0;52767,952404;0;0,000000;0;0,000000;0;36045,959280;1;0,000000;0;-36045,959280;0;;-1,000000;0,800680;1,000000;16721,993124;16721,993124;0,055740;1,000000
0;59;1,000000;29823,303371;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,199320;0;79548,764999;1,000000;79548,764999;1;61,354432;0;30079,341141;0;0,000000;0;79548,764999;1;79548,764999;1;79548,764999;1;0,000000;0;;1,000000;-1,000000;-1,000000;-49469,423858;-49469,423858;-0,164898;-1,000000
0;60;1,000000;44335,104857;0,000000;0,000000;1;80922,611314;2,000000;80922,611314;0;0,115025;0;0,000000;1,000000;0,000000;0;65,336708;0;44686,864083;0;0,000000;0;80922,611314;1;80922,611314;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-36235,747231;-36235,747231;-0,120786;-1,000000
0;61;1,000000;28880,114629;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,115025;0;82427,652140;0,000000;0,000000;0;61,339498;0;29382,525728;0;0,000000;0;0,000000;0;82427,652140;1;0,000000;0;-82427,652140;0;;1,000000;-1,000000;1,000000;-53045,126412;-53045,126412;-0,176817;-1,000000
0;62;1,000000;35368,980434;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,115025;0;86403,681477;1,000000;86403,681477;1;59,589533;0;36149,028459;0;0,000000;0;86403,681477;1;86403,681477;1;86403,681477;1;0,000000;0;;1,000000;-1,000000;1,000000;-50254,653018;-50254,653018;-0,167516;-1,000000
0;63;1,000000;23821,637049;1,000000;23821,637049;1;41125,752997;2,000000;41125,752997;0;0,072186;0;0,000000;1,000000;0,000000;0;49,418438;0;947,138386;0;23821,637049;1;64947,390045;1;64947,390045;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;-40178,614610;-64000,251659;-0,213334;-1,000000
0;64;1,000000;32435,784351;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,072186;0;59790,226867;1,000000;59790,226867;1;40,178253;0;33665,492604;0;0,000000;0;59790,226867;1;59790,226867;1;59790,226867;1;0,000000;0;;1,000000;-1,000000;1,000000;-26124,734262;-26124,734262;-0,087082;-1,000000
0;65;1,000000;20307,368738;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,072186;0;54040,372822;0,000000;0,000000;0;29,663054;0;21675,421831;0;0,000000;0;0,000000;0;54040,372822;1;0,000000;0;-54040,372822;0;;1,000000;-1,000000;1,000000;-32364,950992;-32364,950992;-0,107883;-1,000000
0;66;1,000000;39107,159655;1,000000;39107,159655;1;0,000000;1,000000;0,000000;0;0,072186;0;12066,597567;0,000000;0,000000;0;35,773293;0;1394,987326;0;39107,159655;1;39107,159655;1;51173,757222;1;0,000000;0;-12066,597567;0;;-1,000000;-1,000000;1,000000;-10671,610242;-49778,769896;-0,165929;-1,000000
